Date,Stations,Max_Temp
18-06-1970,Rangpur,29.2
18-06-1970,Satkhira,30
18-06-1970,Srimangal,32.1
18-06-1970,Sylhet,28.9
19-06-1970,Barisal,30.6
19-06-1970,Bhola,33.2
19-06-1970,Bogra,33.3
19-06-1970,Dinajpur,33.9
19-06-1970,Ishurdi,32.4
19-06-1970,Khulna,32.3
19-06-1970,Rajshahi,****
19-06-1970,Rangpur,31.5
19-06-1970,Satkhira,31.1
19-06-1970,Srimangal,28.3
19-06-1970,Sylhet,****
20-06-1970,Barisal,32.7
20-06-1970,Bhola,32.9
20-06-1970,Bogra,31.1
20-06-1970,Dinajpur,32.8
20-06-1970,Ishurdi,35.4
20-06-1970,Khulna,36.1
20-06-1970,Rajshahi,****
20-06-1970,Rangpur,31.9
20-06-1970,Satkhira,31.1
20-06-1970,Srimangal,32.2
20-06-1970,Sylhet,28.3
21-06-1970,Barisal,30.7
21-06-1970,Bhola,33.6
21-06-1970,Bogra,31.1
21-06-1970,Dinajpur,31.7
21-06-1970,Ishurdi,30.6
21-06-1970,Khulna,****
21-06-1970,Rajshahi,****
21-06-1970,Rangpur,32.2
21-06-1970,Satkhira,30
21-06-1970,Srimangal,32.7
21-06-1970,Sylhet,31.7
22-06-1970,Barisal,29.9
22-06-1970,Bhola,34.1
22-06-1970,Bogra,30.9
22-06-1970,Dinajpur,31.1
22-06-1970,Ishurdi,30.8
22-06-1970,Khulna,30.6
22-06-1970,Rajshahi,****
22-06-1970,Rangpur,31.9
22-06-1970,Satkhira,30
22-06-1970,Srimangal,31.1
22-06-1970,Sylhet,29.4
23-06-1970,Barisal,29.4
23-06-1970,Bhola,34.7
23-06-1970,Bogra,30.8
23-06-1970,Dinajpur,28.3
23-06-1970,Ishurdi,29.2
23-06-1970,Khulna,29.3
23-06-1970,Rajshahi,****
23-06-1970,Rangpur,30.8
23-06-1970,Satkhira,30
23-06-1970,Srimangal,27.9
23-06-1970,Sylhet,26.1
24-06-1970,Barisal,31.8
24-06-1970,Bhola,33
24-06-1970,Bogra,32.2
24-06-1970,Dinajpur,30.6
24-06-1970,Ishurdi,32.8
24-06-1970,Khulna,32.2
24-06-1970,Rajshahi,****
24-06-1970,Rangpur,29.6
24-06-1970,Satkhira,29.4
24-06-1970,Srimangal,30.8
24-06-1970,Sylhet,26.1
25-06-1970,Barisal,31.9
25-06-1970,Bhola,34
25-06-1970,Bogra,27.1
25-06-1970,Dinajpur,31.1
25-06-1970,Ishurdi,31.8
25-06-1970,Khulna,33.4
25-06-1970,Rajshahi,****
25-06-1970,Rangpur,30.9
25-06-1970,Satkhira,32.2
25-06-1970,Srimangal,30.8
25-06-1970,Sylhet,27.8
26-06-1970,Barisal,30.6
26-06-1970,Bhola,33.6
26-06-1970,Bogra,29.4
26-06-1970,Dinajpur,30.6
26-06-1970,Ishurdi,33.3
26-06-1970,Khulna,33.3
26-06-1970,Rajshahi,****
26-06-1970,Rangpur,31.7
26-06-1970,Satkhira,30.6
26-06-1970,Srimangal,32.2
26-06-1970,Sylhet,28.9
27-06-1970,Barisal,32.8
27-06-1970,Bhola,30.2
27-06-1970,Bogra,32.5
27-06-1970,Dinajpur,33.3
27-06-1970,Ishurdi,33.7
27-06-1970,Khulna,****
27-06-1970,Rajshahi,****
27-06-1970,Rangpur,31.2
27-06-1970,Satkhira,32.3
27-06-1970,Srimangal,34.1
27-06-1970,Sylhet,31.7
28-06-1970,Barisal,32.1
28-06-1970,Bhola,31.7
28-06-1970,Bogra,31.7
28-06-1970,Dinajpur,31.1
28-06-1970,Ishurdi,33.3
28-06-1970,Khulna,34.2
28-06-1970,Rajshahi,****
28-06-1970,Rangpur,30.1
28-06-1970,Satkhira,32.2
28-06-1970,Srimangal,34.4
28-06-1970,Sylhet,32.8
29-06-1970,Barisal,31.4
29-06-1970,Bhola,33.2
29-06-1970,Bogra,33.1
29-06-1970,Dinajpur,34.4
29-06-1970,Ishurdi,32.9
29-06-1970,Khulna,****
29-06-1970,Rajshahi,****
29-06-1970,Rangpur,32.6
29-06-1970,Satkhira,33.3
29-06-1970,Srimangal,34.4
29-06-1970,Sylhet,32.8
30-06-1970,Barisal,29.4
30-06-1970,Bhola,32.9
30-06-1970,Bogra,31.7
30-06-1970,Dinajpur,34.4
30-06-1970,Ishurdi,30.7
30-06-1970,Khulna,28.9
30-06-1970,Rajshahi,****
30-06-1970,Rangpur,33.3
30-06-1970,Satkhira,33.9
30-06-1970,Srimangal,33.3
30-06-1970,Sylhet,32.8
01-07-1970,Barisal,28.7
01-07-1970,Bhola,****
01-07-1970,Bogra,30.6
01-07-1970,Dinajpur,30.6
01-07-1970,Ishurdi,29.2
01-07-1970,Khulna,28.1
01-07-1970,Rajshahi,****
01-07-1970,Rangpur,32.8
01-07-1970,Satkhira,30
01-07-1970,Srimangal,31.9
01-07-1970,Sylhet,30
02-07-1970,Barisal,28.3
02-07-1970,Bhola,****
02-07-1970,Bogra,31.1
02-07-1970,Dinajpur,31.1
02-07-1970,Ishurdi,32.1
02-07-1970,Khulna,35.6
02-07-1970,Rajshahi,****
02-07-1970,Rangpur,32.8
02-07-1970,Satkhira,32.2
02-07-1970,Srimangal,32.2
02-07-1970,Sylhet,30.6
03-07-1970,Barisal,32.4
03-07-1970,Bhola,****
03-07-1970,Bogra,32.2
03-07-1970,Dinajpur,35
03-07-1970,Ishurdi,33.6
03-07-1970,Khulna,33.8
03-07-1970,Rajshahi,****
03-07-1970,Rangpur,33.3
03-07-1970,Satkhira,30.6
03-07-1970,Srimangal,31.9
03-07-1970,Sylhet,31.7
04-07-1970,Barisal,33.9
04-07-1970,Bhola,****
04-07-1970,Bogra,33.6
04-07-1970,Dinajpur,33.9
04-07-1970,Ishurdi,33.4
04-07-1970,Khulna,35.3
04-07-1970,Rajshahi,****
04-07-1970,Rangpur,33.7
04-07-1970,Satkhira,29.4
04-07-1970,Srimangal,28.8
04-07-1970,Sylhet,****
05-07-1970,Barisal,33.3
05-07-1970,Bhola,****
05-07-1970,Bogra,****
05-07-1970,Dinajpur,35
05-07-1970,Ishurdi,34.4
05-07-1970,Khulna,35.6
05-07-1970,Rajshahi,****
05-07-1970,Rangpur,32.1
05-07-1970,Satkhira,32.2
05-07-1970,Srimangal,33.3
05-07-1970,Sylhet,32.2
06-07-1970,Barisal,32.8
06-07-1970,Bhola,****
06-07-1970,Bogra,32.2
06-07-1970,Dinajpur,34.4
06-07-1970,Ishurdi,32.4
06-07-1970,Khulna,34.9
06-07-1970,Rajshahi,****
06-07-1970,Rangpur,33.1
06-07-1970,Satkhira,33.3
06-07-1970,Srimangal,31.5
06-07-1970,Sylhet,32.8
07-07-1970,Barisal,31.1
07-07-1970,Bhola,****
07-07-1970,Bogra,33.9
07-07-1970,Dinajpur,34.4
07-07-1970,Ishurdi,33.3
07-07-1970,Khulna,32.8
07-07-1970,Rajshahi,****
07-07-1970,Rangpur,33.7
07-07-1970,Satkhira,34.4
07-07-1970,Srimangal,34.1
07-07-1970,Sylhet,34.4
08-07-1970,Barisal,30.2
08-07-1970,Bhola,****
08-07-1970,Bogra,32.2
08-07-1970,Dinajpur,32.8
08-07-1970,Ishurdi,31.6
08-07-1970,Khulna,32.4
08-07-1970,Rajshahi,****
08-07-1970,Rangpur,34.3
08-07-1970,Satkhira,34.4
08-07-1970,Srimangal,33.8
08-07-1970,Sylhet,33.9
09-07-1970,Barisal,29.4
09-07-1970,Bhola,****
09-07-1970,Bogra,29.4
09-07-1970,Dinajpur,32.2
09-07-1970,Ishurdi,31.8
09-07-1970,Khulna,32.1
09-07-1970,Rajshahi,****
09-07-1970,Rangpur,31.7
09-07-1970,Satkhira,32.2
09-07-1970,Srimangal,31.1
09-07-1970,Sylhet,****
10-07-1970,Barisal,29.2
