Date,Stations,Min_Temp
05-05-1970,Barisal,24.7
05-06-1970,Barisal,25.3
05-03-1970,Bhola,18.4
05-04-1970,Bhola,24.4
05-05-1970,Bhola,26.7
05-06-1970,Bhola,24.4
05-03-1970,Bogra,18.3
05-04-1970,Bogra,20
05-05-1970,Bogra,23.8
05-06-1970,Bogra,26.5
05-03-1970,Dinajpur,15.7
05-04-1970,Dinajpur,17.3
05-05-1970,Dinajpur,23.3
05-06-1970,Dinajpur,25.1
05-03-1970,Ishurdi,18.2
05-04-1970,Ishurdi,20.6
05-05-1970,Ishurdi,25.9
05-06-1970,Ishurdi,26.7
05-03-1970,Jessore,16.9
05-04-1970,Jessore,20.7
05-05-1970,Jessore,24
05-06-1970,Jessore,26.1
05-03-1970,Khulna,17.8
05-04-1970,Khulna,****
05-05-1970,Khulna,25.7
05-06-1970,Khulna,****
05-03-1970,Rajshahi,****
05-04-1970,Rajshahi,****
05-05-1970,Rajshahi,****
05-06-1970,Rajshahi,****
05-03-1970,Rangpur,13.1
05-04-1970,Rangpur,18.3
05-05-1970,Rangpur,19.4
05-06-1970,Rangpur,22.4
05-03-1970,Satkhira,17.2
05-04-1970,Satkhira,21.2
05-05-1970,Satkhira,25
05-06-1970,Satkhira,25
05-03-1970,Srimangal,15.2
05-04-1970,Srimangal,16.7
05-05-1970,Srimangal,23.3
05-06-1970,Srimangal,25
05-03-1970,Sylhet,15.6
05-04-1970,Sylhet,18.3
05-05-1970,Sylhet,24.4
05-06-1970,Sylhet,25
06-03-1970,Barisal,17.6
06-04-1970,Barisal,23.3
06-05-1970,Barisal,28
06-06-1970,Barisal,26.9
06-03-1970,Bhola,17.7
06-04-1970,Bhola,25.5
06-05-1970,Bhola,26.5
06-06-1970,Bhola,24.1
06-03-1970,Bogra,16.1
06-04-1970,Bogra,19.7
06-05-1970,Bogra,25.6
06-06-1970,Bogra,24.9
06-03-1970,Dinajpur,16.2
06-04-1970,Dinajpur,19.5
06-05-1970,Dinajpur,25.1
06-06-1970,Dinajpur,24.4
06-03-1970,Ishurdi,15.6
06-04-1970,Ishurdi,18.7
06-05-1970,Ishurdi,25.3
06-06-1970,Ishurdi,24.6
06-03-1970,Jessore,16.7
06-04-1970,Jessore,21.9
06-05-1970,Jessore,25.4
06-06-1970,Jessore,26.8
06-03-1970,Khulna,18.3
06-04-1970,Khulna,****
06-05-1970,Khulna,****
06-06-1970,Khulna,****
06-03-1970,Rajshahi,****
06-04-1970,Rajshahi,****
06-05-1970,Rajshahi,****
06-06-1970,Rajshahi,****
06-03-1970,Rangpur,12.7
06-04-1970,Rangpur,18.1
06-05-1970,Rangpur,23.3
06-06-1970,Rangpur,21.9
06-03-1970,Satkhira,17.8
06-04-1970,Satkhira,21.1
06-05-1970,Satkhira,25.6
06-06-1970,Satkhira,25.6
06-03-1970,Srimangal,14.4
06-04-1970,Srimangal,18.9
06-05-1970,Srimangal,26.1
06-06-1970,Srimangal,25
06-03-1970,Sylhet,16.7
06-04-1970,Sylhet,20.6
06-05-1970,Sylhet,26.1
06-06-1970,Sylhet,21.7
07-03-1970,Barisal,19.5
07-04-1970,Barisal,23.3
07-05-1970,Barisal,26.3
07-06-1970,Barisal,26.5
07-03-1970,Bhola,18.5
07-04-1970,Bhola,21.6
07-05-1970,Bhola,26.7
07-06-1970,Bhola,23.9
07-03-1970,Bogra,17.1
07-04-1970,Bogra,20.4
