Temp_Max,tmin,rh,rain,sunshine,windsp
32.1,24.1,80,0,9.9,2
27.6,23.1,89,12,2.9,1
30,23.7,81,1,3.7,1
31.9,23.7,74,0,11.8,0
32.2,23.4,81,0,6.8,0
31.1,23.4,77,1,9.3,1
30.1,22.9,78,0,7.9,1
30,22.9,84,1,7.9,2
30.6,21.7,80,13,9.4,3
30.6,22.2,76,0,6.3,2
30.6,23,81,0,7,1
31.1,21.6,73,0,7.3,2
32.2,21.8,75,0,10.5,2
30.2,21.4,79,0,7,2
32.1,21.7,74,0,5.6,2
32.2,21,67,0,11.3,1
30.6,20.9,66,0,11.3,1.5
28.8,21.9,66,0,4.8,1.5
23.9,21.7,73,0,0,1.7
20.6,19.3,90,6,0,1.5
28.1,16.1,65,0,10.1,3.7
28.2,17.2,71,0,9.5,3.7
27.2,18.6,63,0,9.4,2
28.3,17.2,71,0,9.5,2
29.2,17.3,64,0,9.1,3
28.6,17.8,70,0,10.4,4
27.2,19,65,0,8.7,5
27.2,16.7,75,0,8.5,2
27.4,17.8,69,0,9.3,2
27.7,17.3,70,0,8.4,2
27.7,17.2,69,0,8.6,3.5
28.3,16.6,69,0,10.1,3.5
27.8,16.1,64,0,9.6,2
26.9,16.1,73,0,5.8,2
27.8,14.4,64,0,9.6,2
27.2,13.4,64,0,10.6,2
27.2,13.4,66,0,8.8,2.6
26.8,13.7,66,0,7.8,2.3
26.7,12.8,69,0,10.1,4.2
27.3,13.3,65,0,9.2,2
26.9,12.2,65,0,9.3,0
30.8,24.3,75,0,9.1,4.2
27.9,15.6,66,0,10.9,2
28.1,16.9,65,0,10.6,0
28,17.3,74,0,10.4,1.2
28.4,15.6,65,0,10.7,2
28.4,16.7,68,0,10.7,0
27.1,15.9,68,0,10.5,2
23.9,15.6,76,0,1.2,2
26.1,16.4,78,0,3.2,1
27.8,17.2,74,0,9.3,2
28.1,17,71,0,10.3,1
29,17.9,67,0,8.6,2
29.4,16.4,66,0,10,2
28.7,16.5,66,0,10.1,1.5
