Date,Stations,Min_Temp
03-10-1970,Rangpur,23.1
03-11-1970,Rangpur,20.3
03-06-1970,Satkhira,25
03-07-1970,Satkhira,21.7
03-08-1970,Satkhira,26.1
03-09-1970,Satkhira,22.2
03-10-1970,Satkhira,25.6
03-11-1970,Satkhira,22.8
03-06-1970,Srimangal,23.9
03-07-1970,Srimangal,25.6
03-08-1970,Srimangal,25
03-09-1970,Srimangal,25
03-10-1970,Srimangal,23.9
03-11-1970,Srimangal,19.9
03-06-1970,Sylhet,23.9
03-07-1970,Sylhet,25.6
03-08-1970,Sylhet,24.4
03-09-1970,Sylhet,25
03-10-1970,Sylhet,22.8
03-11-1970,Sylhet,20.6
04-06-1970,Barisal,23.8
04-07-1970,Barisal,27.6
04-08-1970,Barisal,26.6
04-09-1970,Barisal,23.6
04-10-1970,Barisal,23.7
04-11-1970,Barisal,22.4
04-06-1970,Bhola,24.1
04-07-1970,Bhola,****
04-08-1970,Bhola,26.8
04-09-1970,Bhola,25.2
04-10-1970,Bhola,24
04-11-1970,Bhola,22.5
04-06-1970,Bogra,23.8
04-07-1970,Bogra,26.4
04-08-1970,Bogra,27.2
04-09-1970,Bogra,25.6
04-10-1970,Bogra,****
04-11-1970,Bogra,21.3
04-06-1970,Dinajpur,24.4
04-07-1970,Dinajpur,27.3
04-08-1970,Dinajpur,26.8
04-09-1970,Dinajpur,25.6
04-10-1970,Dinajpur,22.8
04-11-1970,Dinajpur,21.7
04-06-1970,Ishurdi,23.6
04-07-1970,Ishurdi,26.1
04-08-1970,Ishurdi,26.7
04-09-1970,Ishurdi,23.9
04-10-1970,Ishurdi,22.8
04-11-1970,Ishurdi,****
04-06-1970,Jessore,22.7
04-07-1970,Jessore,26.5
04-08-1970,Jessore,26.1
04-09-1970,Jessore,24.3
04-10-1970,Jessore,23.4
04-11-1970,Jessore,15.7
04-06-1970,Khulna,****
04-07-1970,Khulna,27.9
04-08-1970,Khulna,27.2
04-09-1970,Khulna,****
04-10-1970,Khulna,25
04-11-1970,Khulna,23.3
04-06-1970,Rajshahi,****
04-07-1970,Rajshahi,****
04-08-1970,Rajshahi,****
04-09-1970,Rajshahi,****
04-10-1970,Rajshahi,****
04-11-1970,Rajshahi,****
04-06-1970,Rangpur,22.6
04-07-1970,Rangpur,25.3
04-08-1970,Rangpur,25
04-09-1970,Rangpur,26.1
04-10-1970,Rangpur,22.7
04-11-1970,Rangpur,20.3
04-06-1970,Satkhira,25
04-07-1970,Satkhira,21.7
04-08-1970,Satkhira,26.7
04-09-1970,Satkhira,23.9
04-10-1970,Satkhira,24.4
04-11-1970,Satkhira,20.6
04-06-1970,Srimangal,25
04-07-1970,Srimangal,25
04-08-1970,Srimangal,25.3
04-09-1970,Srimangal,25
04-10-1970,Srimangal,22.8
04-11-1970,Srimangal,20
04-06-1970,Sylhet,23.3
04-07-1970,Sylhet,****
04-08-1970,Sylhet,23.9
04-09-1970,Sylhet,26.1
04-10-1970,Sylhet,21.7
04-11-1970,Sylhet,20.6
