Yield,NDVI_25022025
3.22,0.05
5.09,0.3
3.28,0.04
2.13,-0.01
3.46,-0.08
3.92,0.21
4.97,0.02
5.13,0.13
5.2,0.08
8.25,0.5
6.34,0.14
3.94,0.39
5.57,0.08
4.56,0.23
2.82,-0.02
