Date,Stations,Max_Temp
05-06-1970,Barisal,31.7
05-03-1970,Bhola,23
05-04-1970,Bhola,33
05-05-1970,Bhola,34.2
05-06-1970,Bhola,34
05-03-1970,Bogra,26
05-04-1970,Bogra,37.2
05-05-1970,Bogra,35
05-06-1970,Bogra,32.2
05-03-1970,Dinajpur,27.8
05-04-1970,Dinajpur,35
05-05-1970,Dinajpur,31.7
05-06-1970,Dinajpur,30
05-03-1970,Ishurdi,25.2
05-04-1970,Ishurdi,****
05-05-1970,Ishurdi,****
05-06-1970,Ishurdi,35.2
05-03-1970,Jessore,21.9
05-04-1970,Jessore,34.7
05-05-1970,Jessore,35.6
05-06-1970,Jessore,33.6
05-03-1970,Khulna,21.1
05-04-1970,Khulna,****
05-05-1970,Khulna,36.7
05-06-1970,Khulna,33.9
05-03-1970,Rajshahi,****
05-04-1970,Rajshahi,****
05-05-1970,Rajshahi,****
05-06-1970,Rajshahi,****
05-03-1970,Rangpur,25.3
05-04-1970,Rangpur,38.9
05-05-1970,Rangpur,36.1
05-06-1970,Rangpur,26.1
05-03-1970,Satkhira,21.1
05-04-1970,Satkhira,36.1
05-05-1970,Satkhira,35.6
05-06-1970,Satkhira,34.1
05-03-1970,Srimangal,24.4
05-04-1970,Srimangal,34.3
05-05-1970,Srimangal,35.8
05-06-1970,Srimangal,32.8
05-03-1970,Sylhet,25
05-04-1970,Sylhet,31.7
05-05-1970,Sylhet,33.9
05-06-1970,Sylhet,31.7
06-03-1970,Barisal,26.1
06-04-1970,Barisal,33.3
06-05-1970,Barisal,33.6
06-06-1970,Barisal,30.7
06-03-1970,Bhola,31.8
06-04-1970,Bhola,32.3
06-05-1970,Bhola,35.1
06-06-1970,Bhola,33.6
06-03-1970,Bogra,27.2
06-04-1970,Bogra,****
06-05-1970,Bogra,37.2
06-06-1970,Bogra,29.4
06-03-1970,Dinajpur,28.9
06-04-1970,Dinajpur,35.6
06-05-1970,Dinajpur,36.1
06-06-1970,Dinajpur,30.6
06-03-1970,Ishurdi,27.2
06-04-1970,Ishurdi,38.2
06-05-1970,Ishurdi,37.9
06-06-1970,Ishurdi,32.8
06-03-1970,Jessore,26.1
06-04-1970,Jessore,35.7
06-05-1970,Jessore,35.8
06-06-1970,Jessore,32.7
06-03-1970,Khulna,27.4
06-04-1970,Khulna,****
06-05-1970,Khulna,38
06-06-1970,Khulna,32.8
06-03-1970,Rajshahi,****
06-04-1970,Rajshahi,****
06-05-1970,Rajshahi,****
06-06-1970,Rajshahi,****
06-03-1970,Rangpur,26.4
06-04-1970,Rangpur,****
06-05-1970,Rangpur,36.3
06-06-1970,Rangpur,30.6
06-03-1970,Satkhira,26.7
06-04-1970,Satkhira,36.2
06-05-1970,Satkhira,38.3
06-06-1970,Satkhira,32.8
06-03-1970,Srimangal,25.5
06-04-1970,Srimangal,34.9
06-05-1970,Srimangal,34.1
06-06-1970,Srimangal,32.2
06-03-1970,Sylhet,27.8
06-04-1970,Sylhet,33.3
06-05-1970,Sylhet,31.7
06-06-1970,Sylhet,32.8
07-03-1970,Barisal,27.5
07-04-1970,Barisal,34.5
07-05-1970,Barisal,35.6
07-06-1970,Barisal,30
07-03-1970,Bhola,29.7
07-04-1970,Bhola,29.6
07-05-1970,Bhola,35.7
07-06-1970,Bhola,30.2
07-03-1970,Bogra,30
07-04-1970,Bogra,43.4
07-05-1970,Bogra,****
07-06-1970,Bogra,26.7
07-03-1970,Dinajpur,29.4
07-04-1970,Dinajpur,****
07-05-1970,Dinajpur,35
07-06-1970,Dinajpur,31.1
07-03-1970,Ishurdi,30
07-04-1970,Ishurdi,37.2
07-05-1970,Ishurdi,****
07-06-1970,Ishurdi,27.9
07-03-1970,Jessore,29.4
07-04-1970,Jessore,35.2
07-05-1970,Jessore,33.3
07-06-1970,Jessore,30.6
07-03-1970,Khulna,30.2
07-04-1970,Khulna,36.1
07-05-1970,Khulna,38.2
07-06-1970,Khulna,****
07-03-1970,Rajshahi,****
07-04-1970,Rajshahi,****
07-05-1970,Rajshahi,****
07-06-1970,Rajshahi,****
07-03-1970,Rangpur,26.9
07-04-1970,Rangpur,37.9
07-05-1970,Rangpur,36.7
07-06-1970,Rangpur,31.3
07-03-1970,Satkhira,28.9
07-04-1970,Satkhira,36.3
07-05-1970,Satkhira,38.9
07-06-1970,Satkhira,33
07-03-1970,Srimangal,26.6
07-04-1970,Srimangal,35.7
07-05-1970,Srimangal,37.7
07-06-1970,Srimangal,32.8
07-03-1970,Sylhet,27.2
07-04-1970,Sylhet,34.4
07-05-1970,Sylhet,34.4
07-06-1970,Sylhet,****
08-03-1970,Barisal,31.1
08-04-1970,Barisal,33.3
08-05-1970,Barisal,34.4
08-06-1970,Barisal,29.3
08-03-1970,Bhola,30.8
08-04-1970,Bhola,31.5
08-05-1970,Bhola,35.2
08-06-1970,Bhola,31.7
08-03-1970,Bogra,31.7
08-04-1970,Bogra,43.4
08-05-1970,Bogra,43.4
08-06-1970,Bogra,27.2
08-03-1970,Dinajpur,31.3
08-04-1970,Dinajpur,38.9
08-05-1970,Dinajpur,38.3
08-06-1970,Dinajpur,26.7
08-03-1970,Ishurdi,31.3
08-04-1970,Ishurdi,37.2
08-05-1970,Ishurdi,38
08-06-1970,Ishurdi,28.4
08-03-1970,Jessore,31.6
08-04-1970,Jessore,31.6
08-05-1970,Jessore,35.8
08-06-1970,Jessore,29.7
08-03-1970,Khulna,29.7
08-04-1970,Khulna,29.4
08-05-1970,Khulna,39.4
08-06-1970,Khulna,32.2
08-03-1970,Rajshahi,****
08-04-1970,Rajshahi,****
08-05-1970,Rajshahi,****
08-06-1970,Rajshahi,****
08-03-1970,Rangpur,28.3
08-04-1970,Rangpur,38.1
08-05-1970,Rangpur,37.3
08-06-1970,Rangpur,30.1
08-03-1970,Satkhira,31.1
08-04-1970,Satkhira,30.6
08-05-1970,Satkhira,38.9
08-06-1970,Satkhira,29.5
08-03-1970,Srimangal,27.7
08-04-1970,Srimangal,32.7
08-05-1970,Srimangal,34.9
08-06-1970,Srimangal,33.3
08-03-1970,Sylhet,30.6
08-04-1970,Sylhet,30.6
08-05-1970,Sylhet,29.4
08-06-1970,Sylhet,33.9
09-03-1970,Barisal,32.1
09-04-1970,Barisal,31.7
09-05-1970,Barisal,34.2
09-06-1970,Barisal,30.3
09-03-1970,Bhola,24.2
09-04-1970,Bhola,31.9
09-05-1970,Bhola,35.2
09-06-1970,Bhola,33.2
09-03-1970,Bogra,32.8
09-04-1970,Bogra,38
09-05-1970,Bogra,36.7
09-06-1970,Bogra,33.3
09-03-1970,Dinajpur,32.2
09-04-1970,Dinajpur,41.1
09-05-1970,Dinajpur,36.7
09-06-1970,Dinajpur,32.8
09-03-1970,Ishurdi,32.8
09-04-1970,Ishurdi,38
09-05-1970,Ishurdi,****
09-06-1970,Ishurdi,37.1
09-03-1970,Jessore,33.3
09-04-1970,Jessore,34
09-05-1970,Jessore,37.2
09-06-1970,Jessore,30
09-03-1970,Khulna,****
09-04-1970,Khulna,34.9
09-05-1970,Khulna,37
09-06-1970,Khulna,29.7
09-03-1970,Rajshahi,****
09-04-1970,Rajshahi,****
09-05-1970,Rajshahi,****
09-06-1970,Rajshahi,****
09-03-1970,Rangpur,29.8
09-04-1970,Rangpur,38.4
09-05-1970,Rangpur,37.1
09-06-1970,Rangpur,30.8
09-03-1970,Satkhira,33.4
09-04-1970,Satkhira,35.2
09-05-1970,Satkhira,36.5
09-06-1970,Satkhira,29.4
09-03-1970,Srimangal,32.2
09-04-1970,Srimangal,32.2
09-05-1970,Srimangal,34.4
09-06-1970,Srimangal,35
09-03-1970,Sylhet,31.1
09-04-1970,Sylhet,26.1
09-05-1970,Sylhet,31.7
09-06-1970,Sylhet,35
10-03-1970,Barisal,32.8
10-04-1970,Barisal,33.3
10-05-1970,Barisal,33.9
10-06-1970,Barisal,30
10-03-1970,Bhola,30.8
10-04-1970,Bhola,35.4
10-05-1970,Bhola,34.2
10-06-1970,Bhola,32.9
10-03-1970,Bogra,33.3
10-04-1970,Bogra,43.4
10-05-1970,Bogra,36.7
10-06-1970,Bogra,31.7
10-03-1970,Dinajpur,31.7
10-04-1970,Dinajpur,38.9
10-05-1970,Dinajpur,36.7
